03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,85%@1510,0%@1510,14%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.062C SOC2@46.593C SOC0@44.5C CV1@-256C GPU@47.156C tj@47.375C SOC1@47.375C CV2@-256C VDD_IN 5852mW/6150mW VDD_CPU_GPU_CV 1782mW/1827mW VDD_SOC 1501mW/1716mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.25C SOC2@46.593C SOC0@44.531C CV1@-256C GPU@47.406C tj@47.406C SOC1@47.218C CV2@-256C VDD_IN 5852mW/6143mW VDD_CPU_GPU_CV 1742mW/1825mW VDD_SOC 1501mW/1711mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,85%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@46.937C SOC2@46.687C SOC0@44.656C CV1@-256C GPU@47.562C tj@47.562C SOC1@47.25C CV2@-256C VDD_IN 5811mW/6135mW VDD_CPU_GPU_CV 1742mW/1823mW VDD_SOC 1501mW/1706mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.031C SOC2@46.593C SOC0@44.5C CV1@-256C GPU@47.281C tj@47.375C SOC1@47.375C CV2@-256C VDD_IN 5811mW/6127mW VDD_CPU_GPU_CV 1742mW/1821mW VDD_SOC 1501mW/1701mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,14%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.125C SOC2@46.593C SOC0@44.531C CV1@-256C GPU@47.156C tj@47.156C SOC1@47.093C CV2@-256C VDD_IN 5811mW/6120mW VDD_CPU_GPU_CV 1742mW/1819mW VDD_SOC 1501mW/1697mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,85%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.625C SOC0@44.593C CV1@-256C GPU@47.343C tj@47.343C SOC1@47.187C CV2@-256C VDD_IN 5811mW/6113mW VDD_CPU_GPU_CV 1742mW/1818mW VDD_SOC 1501mW/1692mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@46.968C SOC2@46.593C SOC0@44.718C CV1@-256C GPU@47.156C tj@47.312C SOC1@47.312C CV2@-256C VDD_IN 5811mW/6107mW VDD_CPU_GPU_CV 1742mW/1816mW VDD_SOC 1501mW/1688mW
03-04-2026 13:27:13 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [25%@1510,14%@1510,85%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.062C SOC2@46.562C SOC0@44.468C CV1@-256C GPU@47.187C tj@47.406C SOC1@47.406C CV2@-256C VDD_IN 5811mW/6100mW VDD_CPU_GPU_CV 1742mW/1814mW VDD_SOC 1501mW/1684mW
03-04-2026 13:27:13 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [20%@1510,50%@1510,33%@1510,57%@1510,33%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.312C SOC2@46.593C SOC0@44.593C CV1@-256C GPU@47.625C tj@47.625C SOC1@47.156C CV2@-256C VDD_IN 5883mW/6096mW VDD_CPU_GPU_CV 1782mW/1814mW VDD_SOC 1501mW/1680mW
03-04-2026 13:27:13 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,100%@1510,14%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@46.656C SOC0@44.593C CV1@-256C GPU@47.25C tj@47.25C SOC1@47.218C CV2@-256C VDD_IN 5892mW/6092mW VDD_CPU_GPU_CV 1782mW/1813mW VDD_SOC 1501mW/1677mW
03-04-2026 13:27:13 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,28%@1510,80%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47C SOC2@46.593C SOC0@44.468C CV1@-256C GPU@47.093C tj@47.343C SOC1@47.343C CV2@-256C VDD_IN 5852mW/6087mW VDD_CPU_GPU_CV 1782mW/1812mW VDD_SOC 1501mW/1673mW
03-04-2026 13:27:13 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,14%@1510,85%@1510,12%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.406C SOC2@46.562C SOC0@44.562C CV1@-256C GPU@47.343C tj@47.406C SOC1@47.093C CV2@-256C VDD_IN 5852mW/6082mW VDD_CPU_GPU_CV 1782mW/1812mW VDD_SOC 1501mW/1670mW
